Suburb,Region,Price2024,WeeklyRentJun25,GrossYieldPct,PriceToRentRatio,GrowthPAPct,Growth10YrPct,RentVolatilityCVPct,Verdict,Cluster
Shepparton,Other Regional Centres,465000,450,5.03,19.9,6.7,92,14.43,Buy,Affordable & High-Yield
South Melbourne,Inner Melbourne,1532500,650,2.21,45.3,2.5,28,14.29,Neutral,Expensive & Stable
South Yarra,Inner Melbourne,2260000,600,1.38,72.4,4.5,56,14.98,Rent,Expensive & Stable
Springvale,South Eastern Melbourne,850000,550,3.36,29.7,4.8,60,14.0,Neutral,Mid-Range Balanced
St Kilda,Inner Melbourne,1515000,560,1.92,52.0,2.1,24,14.43,Rent,Expensive & Stable
Sunbury,North Western Melbourne,665000,520,4.07,24.6,6.3,85,11.18,Buy,Affordable & High-Yield
Sunshine,Outer Western Melbourne,820000,485,3.08,32.5,5.4,70,11.7,Neutral,Mid-Range Balanced
Swan Hill,Other Regional Centres,472500,400,4.4,22.7,7.5,105,12.5,Buy,Affordable & High-Yield
Sydenham,Outer Western Melbourne,704000,500,3.69,27.1,5.4,70,8.94,Neutral,Mid-Range Balanced
Thornbury,North Eastern Melbourne,1430000,525,1.91,52.4,5.5,70,11.05,Rent,Mid-Range Balanced
Toorak,Inner Melbourne,6060000,650,0.56,179.3,6,79,10.85,Rent,Premium & Growing
Torquay,Other Regional Centres,1200000,660,2.86,35.0,7.5,107,9.21,Neutral,Affordable & High-Yield
Traralgon,Other Regional Centres,507000,440,4.51,22.2,6.3,84,11.61,Buy,Affordable & High-Yield
West Footscray,Outer Western Melbourne,927500,550,3.08,32.4,3.8,45,12.21,Neutral,Mid-Range Balanced
Whittlesea,North Eastern Melbourne,700000,540,4.01,24.9,6.4,87,12.84,Buy,Affordable & High-Yield
Williamstown,Outer Western Melbourne,1597500,650,2.12,47.3,5.1,65,9.36,Rent,Mid-Range Balanced
Wodonga,Other Regional Centres,540000,480,4.62,21.6,6.2,83,12.39,Buy,Affordable & High-Yield
