Suburb,Quarter,QuarterDate,WeeklyRent
Box Hill,Mar 2021,2021-03-01,410
Box Hill,Jun 2021,2021-06-01,400
Box Hill,Sep 2021,2021-09-01,400
Box Hill,Dec 2021,2021-12-01,400
Box Hill,Mar 2022,2022-03-01,410
Box Hill,Jun 2022,2022-06-01,420
Box Hill,Sep 2022,2022-09-01,430
Box Hill,Dec 2022,2022-12-01,450
Box Hill,Mar 2023,2023-03-01,475
Box Hill,Jun 2023,2023-06-01,500
Box Hill,Sep 2023,2023-09-01,540
Box Hill,Dec 2023,2023-12-01,550
Box Hill,Mar 2024,2024-03-01,580
Box Hill,Jun 2024,2024-06-01,595
Box Hill,Sep 2024,2024-09-01,600
Box Hill,Dec 2024,2024-12-01,600
Box Hill,Mar 2025,2025-03-01,600
Box Hill,Jun 2025,2025-06-01,600
Brighton,Mar 2020,2020-03-01,688
Brighton,Jun 2020,2020-06-01,680
Brighton,Sep 2020,2020-09-01,683
Brighton,Dec 2020,2020-12-01,675
Brighton,Mar 2021,2021-03-01,670
Brighton,Jun 2021,2021-06-01,653
Brighton,Sep 2021,2021-09-01,650
Brighton,Dec 2021,2021-12-01,663
Brighton,Mar 2022,2022-03-01,650
Brighton,Jun 2022,2022-06-01,670
Brighton,Sep 2022,2022-09-01,675
Brighton,Dec 2022,2022-12-01,678
Brighton,Mar 2023,2023-03-01,730
Brighton,Jun 2023,2023-06-01,740
Brighton,Sep 2023,2023-09-01,770
Brighton,Dec 2023,2023-12-01,805
Brighton,Mar 2024,2024-03-01,775
Brighton,Jun 2024,2024-06-01,700
Brighton,Sep 2024,2024-09-01,695
Brighton,Dec 2024,2024-12-01,691
Brighton,Mar 2025,2025-03-01,725
Brighton,Jun 2025,2025-06-01,800
Brighton East,Mar 2020,2020-03-01,745
Brighton East,Jun 2020,2020-06-01,750
Brighton East,Sep 2020,2020-09-01,730
Brighton East,Dec 2020,2020-12-01,718
Brighton East,Mar 2021,2021-03-01,695
Brighton East,Jun 2021,2021-06-01,700
Brighton East,Sep 2021,2021-09-01,725
Brighton East,Dec 2021,2021-12-01,750
Brighton East,Mar 2022,2022-03-01,750
Brighton East,Jun 2022,2022-06-01,750
Brighton East,Sep 2022,2022-09-01,750
Brighton East,Dec 2022,2022-12-01,753
Brighton East,Mar 2023,2023-03-01,788
Brighton East,Jun 2023,2023-06-01,790
Brighton East,Sep 2023,2023-09-01,800
Brighton East,Dec 2023,2023-12-01,800
Brighton East,Mar 2024,2024-03-01,850
Brighton East,Jun 2024,2024-06-01,850
Brighton East,Sep 2024,2024-09-01,865
Brighton East,Dec 2024,2024-12-01,868
Brighton East,Mar 2025,2025-03-01,800
Brighton East,Jun 2025,2025-06-01,800
Brunswick,Mar 2020,2020-03-01,480
Brunswick,Jun 2020,2020-06-01,480
Brunswick,Sep 2020,2020-09-01,480
Brunswick,Dec 2020,2020-12-01,460
Brunswick,Mar 2021,2021-03-01,450
Brunswick,Jun 2021,2021-06-01,425
Brunswick,Sep 2021,2021-09-01,420
Brunswick,Dec 2021,2021-12-01,420
Brunswick,Mar 2022,2022-03-01,420
Brunswick,Jun 2022,2022-06-01,430
Brunswick,Sep 2022,2022-09-01,450
Brunswick,Dec 2022,2022-12-01,455
Brunswick,Mar 2023,2023-03-01,490
Brunswick,Jun 2023,2023-06-01,510
Brunswick,Sep 2023,2023-09-01,540
Brunswick,Dec 2023,2023-12-01,550
Brunswick,Mar 2024,2024-03-01,550
Brunswick,Jun 2024,2024-06-01,570
Brunswick,Sep 2024,2024-09-01,580
Brunswick,Dec 2024,2024-12-01,590
Brunswick,Mar 2025,2025-03-01,595
Brunswick,Jun 2025,2025-06-01,600
Carlton North,Mar 2020,2020-03-01,590
Carlton North,Jun 2020,2020-06-01,590
Carlton North,Sep 2020,2020-09-01,590
Carlton North,Dec 2020,2020-12-01,590
Carlton North,Mar 2021,2021-03-01,580
Carlton North,Jun 2021,2021-06-01,575
Carlton North,Sep 2021,2021-09-01,575
Carlton North,Dec 2021,2021-12-01,580
Carlton North,Mar 2022,2022-03-01,580
Carlton North,Jun 2022,2022-06-01,595
Carlton North,Sep 2022,2022-09-01,600
Carlton North,Dec 2022,2022-12-01,600
Carlton North,Mar 2023,2023-03-01,620
Carlton North,Jun 2023,2023-06-01,630
Carlton North,Sep 2023,2023-09-01,650
Carlton North,Dec 2023,2023-12-01,670
Carlton North,Mar 2024,2024-03-01,680
Carlton North,Jun 2024,2024-06-01,690
Carlton North,Sep 2024,2024-09-01,680
Carlton North,Dec 2024,2024-12-01,700
Carlton North,Mar 2025,2025-03-01,720
Carlton North,Jun 2025,2025-06-01,750
Carnegie,Mar 2020,2020-03-01,440
Carnegie,Jun 2020,2020-06-01,440
Carnegie,Sep 2020,2020-09-01,435
Carnegie,Dec 2020,2020-12-01,430
Carnegie,Mar 2021,2021-03-01,410
Carnegie,Jun 2021,2021-06-01,400
Carnegie,Sep 2021,2021-09-01,395
Carnegie,Dec 2021,2021-12-01,390
Carnegie,Mar 2022,2022-03-01,390
Carnegie,Jun 2022,2022-06-01,395
Carnegie,Sep 2022,2022-09-01,400
Carnegie,Dec 2022,2022-12-01,410
Carnegie,Mar 2023,2023-03-01,435
Carnegie,Jun 2023,2023-06-01,450
Carnegie,Sep 2023,2023-09-01,480
Carnegie,Dec 2023,2023-12-01,505
Carnegie,Mar 2024,2024-03-01,520
Carnegie,Jun 2024,2024-06-01,530
Carnegie,Sep 2024,2024-09-01,550
Carnegie,Dec 2024,2024-12-01,550
Carnegie,Mar 2025,2025-03-01,550
Carnegie,Jun 2025,2025-06-01,560
Castlemaine,Mar 2020,2020-03-01,350
Castlemaine,Jun 2020,2020-06-01,345
Castlemaine,Sep 2020,2020-09-01,350
Castlemaine,Dec 2020,2020-12-01,350
Castlemaine,Mar 2021,2021-03-01,350
Castlemaine,Jun 2021,2021-06-01,375
Castlemaine,Sep 2021,2021-09-01,375
Castlemaine,Dec 2021,2021-12-01,380
Castlemaine,Mar 2022,2022-03-01,385
Castlemaine,Jun 2022,2022-06-01,390
Castlemaine,Sep 2022,2022-09-01,408
Castlemaine,Dec 2022,2022-12-01,420
Castlemaine,Mar 2023,2023-03-01,430
Castlemaine,Jun 2023,2023-06-01,420
Castlemaine,Sep 2023,2023-09-01,420
Castlemaine,Dec 2023,2023-12-01,430
Castlemaine,Mar 2024,2024-03-01,450
Castlemaine,Jun 2024,2024-06-01,450
Castlemaine,Sep 2024,2024-09-01,460
Castlemaine,Dec 2024,2024-12-01,455
Castlemaine,Mar 2025,2025-03-01,460
Castlemaine,Jun 2025,2025-06-01,470
Caulfield,Mar 2020,2020-03-01,485
Caulfield,Jun 2020,2020-06-01,485
Caulfield,Sep 2020,2020-09-01,480
Caulfield,Dec 2020,2020-12-01,460
Caulfield,Mar 2021,2021-03-01,425
Caulfield,Jun 2021,2021-06-01,410
Caulfield,Sep 2021,2021-09-01,400
Caulfield,Dec 2021,2021-12-01,400
Caulfield,Mar 2022,2022-03-01,410
Caulfield,Jun 2022,2022-06-01,420
Caulfield,Sep 2022,2022-09-01,440
Caulfield,Dec 2022,2022-12-01,460
Caulfield,Mar 2023,2023-03-01,500
Caulfield,Jun 2023,2023-06-01,530
Caulfield,Sep 2023,2023-09-01,550
Caulfield,Dec 2023,2023-12-01,580
Caulfield,Mar 2024,2024-03-01,600
Caulfield,Jun 2024,2024-06-01,610
Caulfield,Sep 2024,2024-09-01,640
Caulfield,Dec 2024,2024-12-01,645
Caulfield,Mar 2025,2025-03-01,650
Caulfield,Jun 2025,2025-06-01,650
Cheltenham,Mar 2020,2020-03-01,470
Cheltenham,Jun 2020,2020-06-01,470
Cheltenham,Sep 2020,2020-09-01,475
Cheltenham,Dec 2020,2020-12-01,470
Cheltenham,Mar 2021,2021-03-01,460
Cheltenham,Jun 2021,2021-06-01,460
Cheltenham,Sep 2021,2021-09-01,460
Cheltenham,Dec 2021,2021-12-01,470
Cheltenham,Mar 2022,2022-03-01,480
Cheltenham,Jun 2022,2022-06-01,485
Cheltenham,Sep 2022,2022-09-01,495
Cheltenham,Dec 2022,2022-12-01,495
Cheltenham,Mar 2023,2023-03-01,500
Cheltenham,Jun 2023,2023-06-01,510
Cheltenham,Sep 2023,2023-09-01,525
Cheltenham,Dec 2023,2023-12-01,550
Cheltenham,Mar 2024,2024-03-01,575
Cheltenham,Jun 2024,2024-06-01,590
Cheltenham,Sep 2024,2024-09-01,600
Cheltenham,Dec 2024,2024-12-01,600
Cheltenham,Mar 2025,2025-03-01,620
Cheltenham,Jun 2025,2025-06-01,620
Clayton,Mar 2020,2020-03-01,430
Clayton,Jun 2020,2020-06-01,430
Clayton,Sep 2020,2020-09-01,420
Clayton,Dec 2020,2020-12-01,420
Clayton,Mar 2021,2021-03-01,400
Clayton,Jun 2021,2021-06-01,400
Clayton,Sep 2021,2021-09-01,400
Clayton,Dec 2021,2021-12-01,400
Clayton,Mar 2022,2022-03-01,400
Clayton,Jun 2022,2022-06-01,415
Clayton,Sep 2022,2022-09-01,430
Clayton,Dec 2022,2022-12-01,445
Clayton,Mar 2023,2023-03-01,450
Clayton,Jun 2023,2023-06-01,480
Clayton,Sep 2023,2023-09-01,500
Clayton,Dec 2023,2023-12-01,520
Clayton,Mar 2024,2024-03-01,550
Clayton,Jun 2024,2024-06-01,570
Clayton,Sep 2024,2024-09-01,590
Clayton,Dec 2024,2024-12-01,595
Clayton,Mar 2025,2025-03-01,600
Clayton,Jun 2025,2025-06-01,600
Corio,Mar 2020,2020-03-01,300
Corio,Jun 2020,2020-06-01,300
Corio,Sep 2020,2020-09-01,300
Corio,Dec 2020,2020-12-01,300
Corio,Mar 2021,2021-03-01,300
Corio,Jun 2021,2021-06-01,305
Corio,Sep 2021,2021-09-01,320
Corio,Dec 2021,2021-12-01,320
Corio,Mar 2022,2022-03-01,330
Corio,Jun 2022,2022-06-01,330
Corio,Sep 2022,2022-09-01,340
Corio,Dec 2022,2022-12-01,350
Corio,Mar 2023,2023-03-01,350
Corio,Jun 2023,2023-06-01,360
Corio,Sep 2023,2023-09-01,365
Corio,Dec 2023,2023-12-01,370
Corio,Mar 2024,2024-03-01,380
Corio,Jun 2024,2024-06-01,385
Corio,Sep 2024,2024-09-01,390
Corio,Dec 2024,2024-12-01,390
Corio,Mar 2025,2025-03-01,395
Corio,Jun 2025,2025-06-01,400
Craigieburn,Mar 2020,2020-03-01,390
Craigieburn,Jun 2020,2020-06-01,390
Craigieburn,Sep 2020,2020-09-01,390
Craigieburn,Dec 2020,2020-12-01,390
Craigieburn,Mar 2021,2021-03-01,390
Craigieburn,Jun 2021,2021-06-01,390
Craigieburn,Sep 2021,2021-09-01,390
Craigieburn,Dec 2021,2021-12-01,390
Craigieburn,Mar 2022,2022-03-01,400
Craigieburn,Jun 2022,2022-06-01,400
Craigieburn,Sep 2022,2022-09-01,410
Craigieburn,Dec 2022,2022-12-01,420
Craigieburn,Mar 2023,2023-03-01,425
Craigieburn,Jun 2023,2023-06-01,430
Craigieburn,Sep 2023,2023-09-01,450
Craigieburn,Dec 2023,2023-12-01,460
Craigieburn,Mar 2024,2024-03-01,480
Craigieburn,Jun 2024,2024-06-01,500
Craigieburn,Sep 2024,2024-09-01,506
Craigieburn,Dec 2024,2024-12-01,520
Craigieburn,Mar 2025,2025-03-01,525
Craigieburn,Jun 2025,2025-06-01,522
Cranbourne,Mar 2020,2020-03-01,388
Cranbourne,Jun 2020,2020-06-01,390
Cranbourne,Sep 2020,2020-09-01,390
Cranbourne,Dec 2020,2020-12-01,395
Cranbourne,Mar 2021,2021-03-01,395
Cranbourne,Jun 2021,2021-06-01,400
Cranbourne,Sep 2021,2021-09-01,400
Cranbourne,Dec 2021,2021-12-01,410
Cranbourne,Mar 2022,2022-03-01,420
Cranbourne,Jun 2022,2022-06-01,430
Cranbourne,Sep 2022,2022-09-01,440
Cranbourne,Dec 2022,2022-12-01,450
Cranbourne,Mar 2023,2023-03-01,460
Cranbourne,Jun 2023,2023-06-01,480
Cranbourne,Sep 2023,2023-09-01,490
Cranbourne,Dec 2023,2023-12-01,500
Cranbourne,Mar 2024,2024-03-01,525
Cranbourne,Jun 2024,2024-06-01,550
Cranbourne,Sep 2024,2024-09-01,560
Cranbourne,Dec 2024,2024-12-01,575
Cranbourne,Mar 2025,2025-03-01,580
Cranbourne,Jun 2025,2025-06-01,580
Dandenong,Mar 2020,2020-03-01,350
Dandenong,Jun 2020,2020-06-01,350
Dandenong,Sep 2020,2020-09-01,350
Dandenong,Dec 2020,2020-12-01,350
Dandenong,Mar 2021,2021-03-01,350
Dandenong,Jun 2021,2021-06-01,350
Dandenong,Sep 2021,2021-09-01,350
Dandenong,Dec 2021,2021-12-01,350
Dandenong,Mar 2022,2022-03-01,350
Dandenong,Jun 2022,2022-06-01,360
Dandenong,Sep 2022,2022-09-01,360
Dandenong,Dec 2022,2022-12-01,367
Dandenong,Mar 2023,2023-03-01,370
Dandenong,Jun 2023,2023-06-01,385
Dandenong,Sep 2023,2023-09-01,400
Dandenong,Dec 2023,2023-12-01,420
Dandenong,Mar 2024,2024-03-01,440
Dandenong,Jun 2024,2024-06-01,480
Dandenong,Sep 2024,2024-09-01,500
Dandenong,Dec 2024,2024-12-01,520
Dandenong,Mar 2025,2025-03-01,530
Dandenong,Jun 2025,2025-06-01,520
East Melbourne,Mar 2020,2020-03-01,570
East Melbourne,Jun 2020,2020-06-01,560
East Melbourne,Sep 2020,2020-09-01,520
East Melbourne,Dec 2020,2020-12-01,500
East Melbourne,Mar 2021,2021-03-01,450
East Melbourne,Jun 2021,2021-06-01,450
East Melbourne,Sep 2021,2021-09-01,450
East Melbourne,Dec 2021,2021-12-01,450
East Melbourne,Mar 2022,2022-03-01,470
East Melbourne,Jun 2022,2022-06-01,475
East Melbourne,Sep 2022,2022-09-01,500
East Melbourne,Dec 2022,2022-12-01,500
East Melbourne,Mar 2023,2023-03-01,550
East Melbourne,Jun 2023,2023-06-01,555
East Melbourne,Sep 2023,2023-09-01,575
East Melbourne,Dec 2023,2023-12-01,595
East Melbourne,Mar 2024,2024-03-01,600
East Melbourne,Jun 2024,2024-06-01,600
East Melbourne,Sep 2024,2024-09-01,600
East Melbourne,Dec 2024,2024-12-01,625
East Melbourne,Mar 2025,2025-03-01,629
East Melbourne,Jun 2025,2025-06-01,630
Echuca,Mar 2020,2020-03-01,330
Echuca,Jun 2020,2020-06-01,338
Echuca,Sep 2020,2020-09-01,340
Echuca,Dec 2020,2020-12-01,350
Echuca,Mar 2021,2021-03-01,355
Echuca,Jun 2021,2021-06-01,360
Echuca,Sep 2021,2021-09-01,358
Echuca,Dec 2021,2021-12-01,363
Echuca,Mar 2022,2022-03-01,375
Echuca,Jun 2022,2022-06-01,380
Echuca,Sep 2022,2022-09-01,390
Echuca,Dec 2022,2022-12-01,397
Echuca,Mar 2023,2023-03-01,410
Echuca,Jun 2023,2023-06-01,410
Echuca,Sep 2023,2023-09-01,420
Echuca,Dec 2023,2023-12-01,430
Echuca,Mar 2024,2024-03-01,440
Echuca,Jun 2024,2024-06-01,450
Echuca,Sep 2024,2024-09-01,450
Echuca,Dec 2024,2024-12-01,450
Echuca,Mar 2025,2025-03-01,450
Echuca,Jun 2025,2025-06-01,450
Elsternwick,Mar 2020,2020-03-01,440
Elsternwick,Jun 2020,2020-06-01,450
Elsternwick,Sep 2020,2020-09-01,455
Elsternwick,Dec 2020,2020-12-01,450
Elsternwick,Mar 2021,2021-03-01,450
Elsternwick,Jun 2021,2021-06-01,449
Elsternwick,Sep 2021,2021-09-01,433
Elsternwick,Dec 2021,2021-12-01,430
Elsternwick,Mar 2022,2022-03-01,430
Elsternwick,Jun 2022,2022-06-01,440
Elsternwick,Sep 2022,2022-09-01,450
Elsternwick,Dec 2022,2022-12-01,450
Elsternwick,Mar 2023,2023-03-01,470
Elsternwick,Jun 2023,2023-06-01,490
Elsternwick,Sep 2023,2023-09-01,510
Elsternwick,Dec 2023,2023-12-01,550
Elsternwick,Mar 2024,2024-03-01,550
Elsternwick,Jun 2024,2024-06-01,570
Elsternwick,Sep 2024,2024-09-01,575
Elsternwick,Dec 2024,2024-12-01,580
Elsternwick,Mar 2025,2025-03-01,600
Elsternwick,Jun 2025,2025-06-01,598
Elwood,Mar 2020,2020-03-01,450
Elwood,Jun 2020,2020-06-01,450
Elwood,Sep 2020,2020-09-01,450
Elwood,Dec 2020,2020-12-01,440
Elwood,Mar 2021,2021-03-01,425
Elwood,Jun 2021,2021-06-01,420
Elwood,Sep 2021,2021-09-01,420
Elwood,Dec 2021,2021-12-01,420
Elwood,Mar 2022,2022-03-01,420
Elwood,Jun 2022,2022-06-01,420
Elwood,Sep 2022,2022-09-01,430
Elwood,Dec 2022,2022-12-01,430
Elwood,Mar 2023,2023-03-01,450
Elwood,Jun 2023,2023-06-01,480
Elwood,Sep 2023,2023-09-01,500
Elwood,Dec 2023,2023-12-01,520
Elwood,Mar 2024,2024-03-01,550
Elwood,Jun 2024,2024-06-01,560
Elwood,Sep 2024,2024-09-01,580
Elwood,Dec 2024,2024-12-01,580
Elwood,Mar 2025,2025-03-01,575
